id,address,lat,lng,rent,size
89297027,"13 Oxford Rd, Bournemouth, BH8 8HA",50.72422479999999,-1.8658241,£103 pcm,53–538 sq. ft.
91357193,"2 Wilson House , Lorne Park Road, BH1 1JN",50.7227504,-1.871747,£500 pcm,250–500 sq. ft.
91282610,"Bourne Gardens, Exeter Park Road,BH2 5BD",50.71849779999999,-1.878082,"£1,000 pcm",250–500 sq. ft.
70455258,"Echo Building 18 , Albert Road, Bournemouth, Dorset, BH1 1BZ",50.72150999999999,-1.8782414,POA,250–500 sq. ft.
91282412,"Platinum House, 23 , Hinton Road ,BH1 2EF",50.7190467,-1.8735577,£200 pcm,100–150 sq. ft.
91282427,"Hinton Road, Bournemouth, Dorset, BH1",50.7191513,-1.8745107,"£1,000 pcm",250–500 sq. ft.
92474966,"319a, Holdenhurst Road, Bournemouth, Dorset, BH8 8BT",50.7323376,-1.8517128,£500 pcm,250–500 sq. ft.
91282385,"15-17 , Stephens Road ,BH2 6LA",50.7231284,-1.882801,£490 pcm,250–500 sq. ft.
87367808,"Suite 3, FF, 40-44 Holdenhurst Road, Bournemouth, Dorset, BH8",50.72329149999999,-1.8646507,£950 pcm,493 sq. ft.
80571578,"2nd Floor, 4 Lansdowne Crescent, Bournemouth, Dorset, BH1 1RX",50.72240900000001,-1.866435,£500 pcm,469 sq. ft.
97352630,"Third Floor 3 Westover Road, Bournemouth, Dorset, BH1",50.7197002,-1.8765272,"£1,125 pcm",463 sq. ft.
98146364,"Gervis Road, Bournemouth, Dorset, BH1",50.72025739999999,-1.8641491,£990 pcm,409 sq. ft.
89739017,"Gervis Road, Bournemouth, Dorset, BH1",50.72025739999999,-1.8641491,£990 pcm,395 sq. ft.
88432742,"Walton House, 56-58 Richmond Hill, Bournemouth, Dorset, BH2",50.722043,-1.8782258,POA,133–390 sq. ft.
88383749,"Walton House, 56-58 Richmond Hill, Bournemouth, Dorset, BH2",50.722043,-1.8782258,POA,133–390 sq. ft.
62769378,"Oxford Road, Bournemouth, Dorset, BH8",50.7246743,-1.8657866,£188 pcm,80–370 sq. ft.
96757793,"Tayfield House, Poole Road, Bournemouth, Dorset, BH4",50.72256050000001,-1.8992846,£600 pcm,300 sq. ft.
62770614,"13 Oxford Rd, BH8 8HA Bournemouth, United Kingdom",50.72422479999999,-1.8658241,£160 pcm,100–300 sq. ft.
77357000,"Gervis Road, Bournemouth, Dorset, BH1",50.72025739999999,-1.8641491,£640 pcm,266 sq. ft.
97352804,"Third Floor 3 Westover Road, Bournemouth, Dorset, BH1",50.7197002,-1.8765272,£792 pcm,258 sq. ft.
91357175,"2 Wilson House , Lorne Park Road, BH1 1JN",50.7227504,-1.871747,£300 pcm,150–250 sq. ft.
70455237,"Echo Building 18 , Albert Road, Bournemouth, Dorset, BH1 1BZ",50.72150999999999,-1.8782414,POA,150–250 sq. ft.
92473802,"319a, Holdenhurst Road, Bournemouth, Dorset, BH8 8BT",50.7323376,-1.8517128,£300 pcm,150–250 sq. ft.
91282418,"Platinum House, 23 , Hinton Road ,BH1 2EF",50.7190467,-1.8735577,£600 pcm,150–250 sq. ft.
