Postcode,"Avg asking price","Average £/sqft","Sales per month","Turnover (sale)","Avg asking rent (pm)","Avg yield","Turnover (rental)",3yr,"Crime rate",Population,Degree,"Avg. household income","Social rent",URL
AL1,"480,035",568,34,5,"1,152",2.9,47,5,98,"36,203",52,"61,500",15,https://propertydata.co.uk/draw?input=AL1
AL2,"597,554",454,15,5,"1,086",2.2,34,5,82,"23,314",36,"51,800",10,https://propertydata.co.uk/draw?input=AL2
AL3,"584,156",528,28,9,"1,371",2.8,100,7,86,"27,971",49,"59,000",15,https://propertydata.co.uk/draw?input=AL3
AL4,"556,673",523,20,10,"1,124",2.4,,7,67,"27,203",42,"56,200",12,https://propertydata.co.uk/draw?input=AL4
AL5,"732,307",582,26,8,"1,338",2.2,50,8,58,"30,462",52,"63,200",8,https://propertydata.co.uk/draw?input=AL5
AL6,"664,767",433,12,9,"1,605",2.9,,8,59,"11,181",36,"58,500",9,https://propertydata.co.uk/draw?input=AL6
AL7,"367,259",399,24,9,978,3.2,,7,111,"33,930",27,"46,800",38,https://propertydata.co.uk/draw?input=AL7
AL8,"455,284",447,11,10,"1,163",3.1,,7,145,"13,362",39,"52,300",23,https://propertydata.co.uk/draw?input=AL8
AL9,"573,491",441,8,5,"1,316",2.8,73,8,108,"10,638",30,"48,800",9,https://propertydata.co.uk/draw?input=AL9
AL10,"328,257",377,11,2,"1,390",5.1,40,7,139,"35,360",27,"43,100",33,https://propertydata.co.uk/draw?input=AL10
B1,"223,700",227,3,,809,4.3,30,9,317,"8,511",53,"43,600",24,https://propertydata.co.uk/draw?input=B1
B2,"188,353",298,2,2,724,4.6,24,6,"3,619",653,46,"51,600",16,https://propertydata.co.uk/draw?input=B2
B3,"231,668",239,2,1,824,4.3,24,9,373,"2,226",52,"50,900",10,https://propertydata.co.uk/draw?input=B3
B4,"289,713",254,,,778,3.2,17,6,590,"4,332",21,"24,100",24,https://propertydata.co.uk/draw?input=B4
B5,"220,621",277,5,1,772,4.2,30,9,373,"12,003",39,"39,600",36,https://propertydata.co.uk/draw?input=B5
B6,"147,529",115,2,4,,,,8,149,"18,864",15,"30,800",33,https://propertydata.co.uk/draw?input=B6
B7,"147,500",129,,,809,6.6,,7,169,"8,548",12,"28,000",72,https://propertydata.co.uk/draw?input=B7
B8,"168,710",135,9,9,610,4.3,,8,108,"42,278",12,"31,500",26,https://propertydata.co.uk/draw?input=B8
B9,"154,993",139,4,6,661,5.1,2,6,133,"24,915",14,"32,900",28,https://propertydata.co.uk/draw?input=B9
B10,"160,137",131,5,9,,,,7,115,"26,004",12,"31,800",22,https://propertydata.co.uk/draw?input=B10
B11,"188,132",148,9,8,692,4.4,,9,89,"44,391",15,"34,100",20,https://propertydata.co.uk/draw?input=B11
B12,"205,110",206,2,1,812,4.7,43,7,145,"20,547",16,"34,800",40,https://propertydata.co.uk/draw?input=B12
B13,"285,452",244,19,6,650,2.7,58,11,89,"37,667",37,"40,100",21,https://propertydata.co.uk/draw?input=B13
B14,"251,329",232,22,9,668,3.2,44,8,116,"43,017",25,"40,200",25,https://propertydata.co.uk/draw?input=B14
B15,"256,578",321,9,2,791,3.7,20,8,160,"17,553",47,"38,800",29,https://propertydata.co.uk/draw?input=B15
B16,"189,375",219,8,1,748,4.7,30,9,144,"23,618",37,"38,000",27,https://propertydata.co.uk/draw?input=B16
B17,"388,162",314,15,3,959,3.0,28,9,100,"25,625",43,"46,000",14,https://propertydata.co.uk/draw?input=B17
B18,"211,860",155,4,2,784,4.4,28,10,206,"16,337",25,"33,400",38,https://propertydata.co.uk/draw?input=B18
B19,"238,981",143,,,725,3.6,20,7,149,"20,152",13,"30,800",58,https://propertydata.co.uk/draw?input=B19
B20,"230,564",157,7,5,623,3.2,,10,106,"34,752",23,"35,000",23,https://propertydata.co.uk/draw?input=B20
B21,"175,325",122,9,9,,,,7,150,"29,626",16,"32,200",25,https://propertydata.co.uk/draw?input=B21
B23,"176,999",162,25,8,546,3.7,29,10,161,"42,858",19,"35,300",26,https://propertydata.co.uk/draw?input=B23
B24,"228,224",186,14,7,593,3.1,28,9,124,"28,259",20,"36,300",21,https://propertydata.co.uk/draw?input=B24
B25,"189,819",163,7,9,703,4.4,,6,131,"15,860",15,"34,300",25,https://propertydata.co.uk/draw?input=B25
B26,"209,087",200,19,6,756,4.3,35,10,114,"32,456",17,"38,200",15,https://propertydata.co.uk/draw?input=B26
B27,"225,866",187,8,5,620,3.3,43,9,121,"25,331",19,"36,600",24,https://propertydata.co.uk/draw?input=B27
B28,"280,305",241,22,10,737,3.2,,6,71,"30,345",25,"41,100",8,https://propertydata.co.uk/draw?input=B28
B29,"242,550",245,21,2,"1,157",5.7,22,11,123,"42,549",30,"38,600",23,https://propertydata.co.uk/draw?input=B29
B30,"259,959",227,23,9,729,3.4,50,11,89,"29,537",32,"42,600",21,https://propertydata.co.uk/draw?input=B30
B31,"212,744",217,32,9,711,4.0,68,10,119,"53,794",20,"38,900",26,https://propertydata.co.uk/draw?input=B31
B32,"227,041",180,17,9,732,3.9,56,12,124,"38,356",20,"37,500",32,https://propertydata.co.uk/draw?input=B32
B33,"217,873",164,13,12,633,3.5,,7,135,"34,483",12,"31,800",35,https://propertydata.co.uk/draw?input=B33
B34,"210,459",172,9,11,,,,8,120,"18,941",11,"32,000",34,https://propertydata.co.uk/draw?input=B34
B35,"157,706",155,3,7,,,,7,133,"9,931",9,"30,000",56,https://propertydata.co.uk/draw?input=B35
B36,"272,056",198,17,11,,,,7,98,"34,865",12,"36,700",28,https://propertydata.co.uk/draw?input=B36
B37,"203,349",181,17,9,720,4.3,,8,132,"35,871",11,"34,600",38,https://propertydata.co.uk/draw?input=B37
B38,"226,983",194,10,9,729,3.9,,11,126,"20,223",18,"36,600",34,https://propertydata.co.uk/draw?input=B38
B42,"187,629",192,13,6,755,4.8,42,9,85,"23,651",17,"40,200",7,https://propertydata.co.uk/draw?input=B42
B43,"233,096",199,20,9,714,3.7,29,8,66,"28,796",21,"39,500",7,https://propertydata.co.uk/draw?input=B43
B44,"182,778",168,15,8,,,,11,105,"37,447",13,"35,100",23,https://propertydata.co.uk/draw?input=B44
B45,"278,196",213,22,14,746,3.2,,8,108,"30,271",21,"40,900",18,https://propertydata.co.uk/draw?input=B45
B46,"328,564",247,7,6,,,,10,91,"12,153",24,"45,200",8,https://propertydata.co.uk/draw?input=B46
B47,"368,612",285,8,8,,,,8,65,"9,560",20,"43,400",10,https://propertydata.co.uk/draw?input=B47
B48,"383,456",292,6,9,,,,8,82,"5,685",32,"45,600",9,https://propertydata.co.uk/draw?input=B48
B49,"298,669",269,5,4,,,,8,72,"10,097",30,"42,300",15,https://propertydata.co.uk/draw?input=B49
B50,"324,307",260,6,9,,,,8,104,"5,507",31,"44,600",11,https://propertydata.co.uk/draw?input=B50
B60,"365,832",255,27,13,754,2.5,,9,81,"27,158",31,"47,800",13,https://propertydata.co.uk/draw?input=B60
B61,"289,182",240,22,10,669,2.8,100,6,116,"24,312",29,"41,900",15,https://propertydata.co.uk/draw?input=B61
B62,"283,917",213,16,9,711,3.0,,8,60,"24,112",23,"42,100",10,https://propertydata.co.uk/draw?input=B62
B63,"224,006",191,23,10,681,3.6,,9,67,"36,587",21,"40,300",18,https://propertydata.co.uk/draw?input=B63
B64,"209,492",173,6,6,538,3.1,,7,110,"16,585",15,"34,500",28,https://propertydata.co.uk/draw?input=B64
B65,"203,376",169,14,11,678,4.0,,7,95,"23,581",12,"33,800",28,https://propertydata.co.uk/draw?input=B65
B66,"194,405",168,6,4,640,3.9,46,8,144,"21,491",19,"33,000",34,https://propertydata.co.uk/draw?input=B66
B67,"205,541",162,14,8,640,3.7,20,11,76,"29,853",22,"35,000",21,https://propertydata.co.uk/draw?input=B67
B68,"223,527",172,15,8,662,3.6,64,9,80,"30,924",18,"35,000",21,https://propertydata.co.uk/draw?input=B68
B69,"188,167",170,13,9,645,4.1,93,11,113,"29,011",14,"34,500",27,https://propertydata.co.uk/draw?input=B69
B70,"186,603",165,6,5,632,4.1,,8,173,"27,772",12,"29,200",36,https://propertydata.co.uk/draw?input=B70
B71,"210,915",161,12,6,650,3.7,,12,108,"30,933",14,"33,200",30,https://propertydata.co.uk/draw?input=B71
B72,"356,803",256,6,4,785,2.6,,7,96,"9,660",39,"49,500",4,https://propertydata.co.uk/draw?input=B72
B73,"370,013",259,13,5,807,2.6,63,11,77,"23,071",36,"46,300",7,https://propertydata.co.uk/draw?input=B73
B74,"393,573",302,26,8,966,2.9,59,11,38,"32,007",34,"47,800",4,https://propertydata.co.uk/draw?input=B74
B75,"336,439",270,15,5,751,2.7,48,9,61,"26,863",34,"47,700",12,https://propertydata.co.uk/draw?input=B75
B76,"315,545",272,15,5,873,3.3,,8,63,"21,509",29,"46,700",6,https://propertydata.co.uk/draw?input=B76
B77,"233,916",213,28,6,683,3.5,100,8,54,"56,947",16,"41,700",19,https://propertydata.co.uk/draw?input=B77
B78,"274,207",216,14,6,706,3.1,76,7,81,"24,227",17,"42,200",16,https://propertydata.co.uk/draw?input=B78
B79,"275,775",221,17,7,685,3.0,30,6,73,"22,298",19,"38,300",20,https://propertydata.co.uk/draw?input=B79
B80,"293,957",240,6,8,,,,8,88,"7,055",18,"42,900",14,https://propertydata.co.uk/draw?input=B80
B90,"308,729",294,42,6,854,3.3,81,7,70,"45,652",31,"49,000",7,https://propertydata.co.uk/draw?input=B90
B91,"405,698",334,23,5,858,2.5,64,9,77,"33,266",41,"53,300",5,https://propertydata.co.uk/draw?input=B91
B92,"305,699",272,24,5,802,3.1,30,11,71,"36,116",29,"44,600",11,https://propertydata.co.uk/draw?input=B92
B93,"522,550",379,15,7,"1,014",2.3,95,6,44,"19,498",45,"55,200",5,https://propertydata.co.uk/draw?input=B93
B94,"673,058",346,6,6,,,,8,84,"7,297",42,"54,100",6,https://propertydata.co.uk/draw?input=B94
B95,"431,111",328,4,8,932,2.6,,8,56,"5,994",34,"45,400",13,https://propertydata.co.uk/draw?input=B95
B96,"454,559",256,5,11,,,,8,44,"4,968",24,"47,000",7,https://propertydata.co.uk/draw?input=B96
B97,"255,093",237,24,8,709,3.3,66,7,106,"33,402",23,"42,000",16,https://propertydata.co.uk/draw?input=B97
B98,"231,497",208,26,10,759,3.9,54,11,117,"49,780",18,"39,600",24,https://propertydata.co.uk/draw?input=B98
BA1,"498,849",402,37,5,"1,243",3.0,59,10,127,"40,588",46,"45,600",15,https://propertydata.co.uk/draw?input=BA1
BA2,"396,737",371,46,5,"1,768",5.3,37,11,64,"73,554",38,"44,000",16,https://propertydata.co.uk/draw?input=BA2
BA3,"326,065",251,20,9,"1,078",4.0,,8,59,"34,594",23,"42,400",12,https://propertydata.co.uk/draw?input=BA3
BA4,"282,263",226,14,9,819,3.5,,8,65,"17,612",26,"41,600",12,https://propertydata.co.uk/draw?input=BA4
BA5,"322,549",276,13,6,788,2.9,,7,77,"17,731",34,"41,600",11,https://propertydata.co.uk/draw?input=BA5
BA6,"304,013",235,13,11,,,,7,113,"12,839",26,"38,800",12,https://propertydata.co.uk/draw?input=BA6
BA8,"309,214",225,4,7,,,,8,49,"4,165",26,"41,300",15,https://propertydata.co.uk/draw?input=BA8
BA9,"271,493",233,7,5,670,3.0,,8,76,"7,197",27,"41,800",13,https://propertydata.co.uk/draw?input=BA9
BA10,"482,143",238,2,5,,,,8,32,"3,843",30,"41,800",13,https://propertydata.co.uk/draw?input=BA10
BA11,"344,669",286,21,7,812,2.8,100,9,78,"32,599",27,"42,200",12,https://propertydata.co.uk/draw?input=BA11
BA12,"328,295",262,16,6,799,2.9,,9,74,"28,537",26,"42,000",13,https://propertydata.co.uk/draw?input=BA12
BA13,"278,891",237,16,7,716,3.1,,7,64,"20,302",23,"42,900",13,https://propertydata.co.uk/draw?input=BA13
BA14,"259,782",246,35,9,778,3.6,100,8,96,"48,041",26,"45,500",13,https://propertydata.co.uk/draw?input=BA14
BA15,"412,787",341,11,8,987,2.9,,6,54,"12,995",44,"47,600",13,https://propertydata.co.uk/draw?input=BA15
BA20,"243,668",213,10,11,,,,8,202,"11,221",24,"42,700",10,https://propertydata.co.uk/draw?input=BA20
BA21,"216,814",202,23,11,679,3.8,46,11,101,"33,314",19,"40,100",19,https://propertydata.co.uk/draw?input=BA21
BA22,"360,776",236,13,10,,,,8,41,"17,977",24,"43,400",11,https://propertydata.co.uk/draw?input=BA22
BB1,"161,574",129,34,10,614,4.6,69,12,131,"66,803",19,"34,100",20,https://propertydata.co.uk/draw?input=BB1
BB2,"149,009",135,40,10,518,4.2,32,9,182,"59,833",21,"37,500",18,https://propertydata.co.uk/draw?input=BB2
BB3,"130,133",118,38,10,473,4.4,45,10,138,"34,127",21,"37,100",11,https://propertydata.co.uk/draw?input=BB3
BB4,"199,212",161,34,9,571,3.4,79,11,122,"41,137",26,"39,000",14,https://propertydata.co.uk/draw?input=BB4
BB5,"113,463",106,42,7,451,4.8,33,10,174,"61,415",18,"34,400",14,https://propertydata.co.uk/draw?input=BB5
BB6,"179,942",136,13,10,,,,7,97,"14,602",26,"39,400",9,https://propertydata.co.uk/draw?input=BB6
BB7,"272,017",247,33,8,780,3.4,80,11,81,"31,637",34,"42,000",10,https://propertydata.co.uk/draw?input=BB7
BB8,"171,194",124,20,7,487,3.4,,7,138,"23,032",18,"36,000",15,https://propertydata.co.uk/draw?input=BB8
BB9,"133,821",77,33,10,417,3.7,50,11,144,"44,577",19,"33,700",12,https://propertydata.co.uk/draw?input=BB9
BB10,"138,894",100,35,14,416,3.6,47,6,135,"37,158",19,"34,400",12,https://propertydata.co.uk/draw?input=BB10
BB11,"97,596",85,17,8,390,4.8,36,11,310,"22,417",16,"33,500",19,https://propertydata.co.uk/draw?input=BB11
BB12,"165,523",135,33,13,440,3.2,33,11,124,"34,620",21,"37,300",11,https://propertydata.co.uk/draw?input=BB12
BB18,"158,501",132,19,12,526,4.0,,9,78,"17,061",19,"38,100",8,https://propertydata.co.uk/draw?input=BB18
BD1,"61,068",123,3,1,482,9.5,15,10,"1,371","3,790",25,"31,600",16,https://propertydata.co.uk/draw?input=BD1
BD2,"154,350",138,19,9,517,4.0,,5,140,"29,667",16,"36,400",10,https://propertydata.co.uk/draw?input=BD2
BD3,"102,820",79,14,13,,,,8,176,"33,205",14,"31,300",20,https://propertydata.co.uk/draw?input=BD3
BD4,"130,004",120,17,13,,,,4,240,"31,127",14,"32,700",30,https://propertydata.co.uk/draw?input=BD4
BD5,"104,432",88,8,9,,,,5,195,"31,969",15,"30,700",29,https://propertydata.co.uk/draw?input=BD5
BD6,"136,563",140,25,15,,,,6,146,"29,771",16,"35,100",15,https://propertydata.co.uk/draw?input=BD6
BD7,"119,394",99,13,8,387,3.9,15,12,168,"35,214",18,"32,800",10,https://propertydata.co.uk/draw?input=BD7
BD8,"122,112",94,8,9,,,,8,164,"31,707",16,"32,400",23,https://propertydata.co.uk/draw?input=BD8
BD9,"150,646",117,8,7,,,,10,142,"28,512",20,"36,100",9,https://propertydata.co.uk/draw?input=BD9
BD10,"196,200",184,23,10,590,3.6,,7,169,"25,634",19,"38,900",18,https://propertydata.co.uk/draw?input=BD10
BD11,"237,085",187,12,13,,,,6,101,"10,971",24,"42,100",8,https://propertydata.co.uk/draw?input=BD11
BD12,"156,872",147,11,10,,,,5,139,"16,821",15,"36,600",14,https://propertydata.co.uk/draw?input=BD12
BD13,"191,171",159,30,17,,,,11,104,"24,810",19,"40,900",8,https://propertydata.co.uk/draw?input=BD13
BD14,"162,474",142,7,10,,,,6,115,"8,860",20,"36,900",12,https://propertydata.co.uk/draw?input=BD14
BD15,"180,485",166,16,13,,,,7,125,"15,713",22,"38,800",21,https://propertydata.co.uk/draw?input=BD15
BD16,"194,564",188,26,9,663,4.1,,12,83,"25,511",31,"44,200",10,https://propertydata.co.uk/draw?input=BD16
BD17,"241,146",197,22,10,625,3.1,100,7,124,"17,992",25,"42,100",10,https://propertydata.co.uk/draw?input=BD17
BD18,"177,552",160,22,10,538,3.6,51,7,161,"27,201",27,"38,600",15,https://propertydata.co.uk/draw?input=BD18
BD19,"218,336",169,19,15,,,,6,120,"22,056",23,"39,600",13,https://propertydata.co.uk/draw?input=BD19
BD20,"223,252",199,43,13,575,3.1,100,8,69,"35,739",24,"41,500",5,https://propertydata.co.uk/draw?input=BD20
BD21,"117,952",103,12,8,389,4.0,57,6,197,"26,635",13,"32,400",15,https://propertydata.co.uk/draw?input=BD21
BD22,"169,985",160,26,10,549,3.9,,6,97,"29,891",21,"39,400",12,https://propertydata.co.uk/draw?input=BD22
BD23,"269,685",224,26,9,637,2.8,100,11,77,"29,494",33,"42,500",10,https://propertydata.co.uk/draw?input=BD23
BD24,"273,558",229,6,12,,,,6,54,"5,180",35,"39,200",11,https://propertydata.co.uk/draw?input=BD24
BH1,"214,115",275,19,3,802,4.5,43,10,330,"19,989",28,"34,600",12,https://propertydata.co.uk/draw?input=BH1
BH2,"234,495",286,10,3,818,4.2,50,10,433,"8,416",34,"36,200",8,https://propertydata.co.uk/draw?input=BH2
BH3,"464,261",294,3,2,"1,332",3.4,21,5,105,"5,635",32,"42,000",6,https://propertydata.co.uk/draw?input=BH3
BH4,"311,197",299,13,4,939,3.6,100,6,102,"9,509",35,"38,700",7,https://propertydata.co.uk/draw?input=BH4
BH5,"249,989",281,10,4,776,3.7,40,9,164,"10,816",28,"35,400",6,https://propertydata.co.uk/draw?input=BH5
BH6,"380,750",328,21,7,845,2.7,70,11,79,"22,725",31,"39,800",8,https://propertydata.co.uk/draw?input=BH6
BH7,"426,902",294,11,8,,,,7,137,"11,495",27,"43,200",5,https://propertydata.co.uk/draw?input=BH7
BH8,"273,048",309,24,5,"1,268",5.6,27,5,141,"28,259",26,"38,300",15,https://propertydata.co.uk/draw?input=BH8
BH9,"329,583",315,26,3,"1,685",6.1,25,5,78,"30,964",22,"40,600",6,https://propertydata.co.uk/draw?input=BH9
BH10,"325,331",302,15,5,"1,645",6.1,26,6,87,"20,064",16,"36,300",12,https://propertydata.co.uk/draw?input=BH10
BH11,"300,524",296,13,7,,,,3,141,"19,783",15,"35,000",26,https://propertydata.co.uk/draw?input=BH11
BH12,"298,579",302,29,7,"1,207",4.9,24,9,114,"34,926",20,"38,000",17,https://propertydata.co.uk/draw?input=BH12
BH13,"628,632",461,16,5,"1,713",3.3,,6,84,"8,246",38,"44,200",2,https://propertydata.co.uk/draw?input=BH13
BH14,"427,577",364,30,5,"1,150",3.2,57,3,100,"23,773",35,"44,400",6,https://propertydata.co.uk/draw?input=BH14
BH15,"305,310",302,29,6,964,3.8,54,10,139,"33,212",23,"37,800",15,https://propertydata.co.uk/draw?input=BH15
BH16,"387,398",299,10,8,,,,5,83,"15,430",20,"40,400",16,https://propertydata.co.uk/draw?input=BH16
BH17,"295,904",315,18,10,935,3.8,,6,82,"22,518",19,"41,600",13,https://propertydata.co.uk/draw?input=BH17
BH18,"474,116",338,15,12,,,,6,39,"11,861",29,"48,900",2,https://propertydata.co.uk/draw?input=BH18
BH19,"343,918",344,16,8,,,,3,70,"11,316",28,"37,500",12,https://propertydata.co.uk/draw?input=BH19
BH20,"381,104",296,12,7,,,,7,75,"20,134",27,"40,600",16,https://propertydata.co.uk/draw?input=BH20
BH21,"408,056",324,31,8,974,2.9,,5,60,"40,646",29,"45,600",9,https://propertydata.co.uk/draw?input=BH21
BH22,"388,939",333,32,9,"1,049",3.2,,4,56,"26,782",23,"40,400",8,https://propertydata.co.uk/draw?input=BH22
BH23,"393,008",354,56,10,968,3.0,100,8,74,"52,808",26,"40,100",12,https://propertydata.co.uk/draw?input=BH23
BH24,"495,354",343,21,8,999,2.4,,6,81,"23,496",30,"44,300",8,https://propertydata.co.uk/draw?input=BH24
BH25,"441,853",361,35,8,785,2.1,,3,71,"25,809",23,"38,100",12,https://propertydata.co.uk/draw?input=BH25
BH31,"429,085",322,14,10,,,,6,45,"13,310",27,"45,000",7,https://propertydata.co.uk/draw?input=BH31
BL0,"246,496",193,13,7,641,3.1,,11,12,"17,204",34,"44,900",8,https://propertydata.co.uk/draw?input=BL0
BL1,"178,667",156,46,9,552,3.7,46,13,,"63,206",24,"35,400",21,https://propertydata.co.uk/draw?input=BL1
BL2,"177,527",152,32,13,592,4.0,62,15,,"45,845",20,"36,900",25,https://propertydata.co.uk/draw?input=BL2
BL3,"167,923",128,30,14,643,4.6,,15,,"63,784",17,"34,400",23,https://propertydata.co.uk/draw?input=BL3
BL4,"152,952",123,19,14,579,4.5,,15,,"33,664",17,"33,300",30,https://propertydata.co.uk/draw?input=BL4
BL5,"192,532",193,28,12,666,4.1,,11,1,"27,064",23,"42,500",11,https://propertydata.co.uk/draw?input=BL5
BL6,"201,339",193,32,10,673,4.0,89,14,8,"29,345",30,"41,700",13,https://propertydata.co.uk/draw?input=BL6
BL7,"316,335",229,16,11,,,,10,19,"15,290",31,"51,200",4,https://propertydata.co.uk/draw?input=BL7
BL8,"274,068",202,25,10,654,2.9,42,10,,"36,171",31,"44,400",8,https://propertydata.co.uk/draw?input=BL8
BL9,"199,884",176,28,10,630,3.8,50,16,1,"47,942",22,"36,600",19,https://propertydata.co.uk/draw?input=BL9
BN1,"398,157",461,60,3,"1,488",4.5,39,6,187,"84,026",41,"47,100",10,https://propertydata.co.uk/draw?input=BN1
BN2,"400,851",418,59,3,"1,940",5.8,36,6,130,"93,165",33,"39,500",25,https://propertydata.co.uk/draw?input=BN2
BN3,"370,702",468,79,5,"1,240",4.0,47,5,105,"79,573",43,"46,200",9,https://propertydata.co.uk/draw?input=BN3
BN5,"528,281",366,6,6,,,,8,69,"7,123",33,"45,300",13,https://propertydata.co.uk/draw?input=BN5
BN6,"499,400",397,15,8,"1,083",2.6,,6,75,"17,572",33,"54,500",11,https://propertydata.co.uk/draw?input=BN6
BN7,"523,496",432,15,7,"1,047",2.4,,9,103,"21,125",43,"49,100",16,https://propertydata.co.uk/draw?input=BN7
BN8,"594,943",355,14,10,,,,9,47,"16,105",37,"49,500",11,https://propertydata.co.uk/draw?input=BN8
BN9,"292,086",267,9,7,,,,6,120,"13,419",18,"40,300",15,https://propertydata.co.uk/draw?input=BN9
BN10,"335,577",314,12,6,,,,6,82,"18,566",18,"37,000",9,https://propertydata.co.uk/draw?input=BN10
BN11,"268,341",321,28,4,851,3.8,100,6,160,"32,753",29,"39,700",10,https://propertydata.co.uk/draw?input=BN11
BN12,"359,942",348,21,9,938,3.1,,7,78,"20,412",24,"45,100",8,https://propertydata.co.uk/draw?input=BN12
BN13,"329,157",323,27,9,,,,6,86,"27,563",24,"43,600",14,https://propertydata.co.uk/draw?input=BN13
BN14,"358,761",339,32,9,908,3.0,100,8,81,"30,974",27,"47,600",6,https://propertydata.co.uk/draw?input=BN14
BN15,"321,106",332,23,7,"1,128",4.2,,7,81,"27,298",17,"39,100",12,https://propertydata.co.uk/draw?input=BN15
BN16,"391,967",339,38,12,"1,004",3.1,,7,60,"28,125",24,"40,500",7,https://propertydata.co.uk/draw?input=BN16
BN17,"282,838",284,27,10,830,3.5,,7,130,"28,526",19,"37,700",12,https://propertydata.co.uk/draw?input=BN17
BN18,"455,272",315,13,7,"1,338",3.5,,6,70,"13,232",30,"43,200",11,https://propertydata.co.uk/draw?input=BN18
BN20,"366,125",302,24,8,982,3.2,,8,63,"21,311",33,"41,500",10,https://propertydata.co.uk/draw?input=BN20
BN21,"243,283",262,25,5,828,4.1,57,5,212,"24,788",31,"36,600",7,https://propertydata.co.uk/draw?input=BN21
BN22,"278,410",255,31,13,,,,6,112,"32,826",21,"36,600",17,https://propertydata.co.uk/draw?input=BN22
BN23,"275,660",282,25,9,971,4.2,,7,90,"28,225",18,"37,700",16,https://propertydata.co.uk/draw?input=BN23
BN24,"336,603",304,12,10,,,,8,64,"9,155",22,"40,800",3,https://propertydata.co.uk/draw?input=BN24
BN25,"376,199",333,28,14,,,,4,65,"23,654",26,"41,000",8,https://propertydata.co.uk/draw?input=BN25
BN26,"379,390",305,11,10,,,,7,78,"11,451",24,"38,600",6,https://propertydata.co.uk/draw?input=BN26
BN27,"335,826",278,23,10,939,3.4,,7,91,"27,198",21,"39,000",11,https://propertydata.co.uk/draw?input=BN27
BN41,"358,724",361,16,8,"1,106",3.7,,5,96,"20,832",22,"43,000",18,https://propertydata.co.uk/draw?input=BN41
BN42,"399,163",348,6,9,,,,8,83,"10,201",22,"39,700",15,https://propertydata.co.uk/draw?input=BN42
BN43,"384,215",409,18,6,"1,205",3.8,,6,92,"22,426",29,"44,500",11,https://propertydata.co.uk/draw?input=BN43
BN44,"402,921",380,9,8,,,,8,45,"10,150",34,"47,600",9,https://propertydata.co.uk/draw?input=BN44
BR1,"433,815",463,39,6,"1,273",3.5,50,11,137,"55,947",32,"54,400",20,https://propertydata.co.uk/draw?input=BR1
BR2,"484,127",476,43,7,"1,361",3.4,60,10,94,"44,903",35,"60,500",9,https://propertydata.co.uk/draw?input=BR2
BR3,"434,759",496,38,7,"1,266",3.5,71,11,93,"47,411",39,"59,000",10,https://propertydata.co.uk/draw?input=BR3
BR4,"653,084",467,15,11,"1,359",2.5,,10,61,"19,361",31,"59,000",4,https://propertydata.co.uk/draw?input=BR4
BR5,"419,764",420,36,12,"1,341",3.8,44,11,109,"46,003",25,"52,500",25,https://propertydata.co.uk/draw?input=BR5
BR6,"548,601",465,36,10,"1,391",3.0,90,10,77,"46,065",31,"59,100",8,https://propertydata.co.uk/draw?input=BR6
BR7,"628,752",507,22,9,"1,374",2.6,36,10,80,"17,322",36,"61,500",7,https://propertydata.co.uk/draw?input=BR7
BR8,"378,818",363,19,15,"1,017",3.2,,11,116,"22,044",18,"47,300",24,https://propertydata.co.uk/draw?input=BR8
BS1,"359,291",377,6,1,"1,287",4.3,60,11,837,"11,541",45,"44,800",27,https://propertydata.co.uk/draw?input=BS1
BS2,"300,036",302,6,2,"1,209",4.8,60,5,259,"15,728",36,"41,700",36,https://propertydata.co.uk/draw?input=BS2
BS3,"349,996",335,35,8,987,3.4,49,10,142,"36,447",38,"43,900",17,https://propertydata.co.uk/draw?input=BS3
BS4,"298,283",267,34,10,831,3.3,77,9,122,"47,993",25,"40,500",23,https://propertydata.co.uk/draw?input=BS4
BS5,"295,751",267,31,10,896,3.6,56,12,150,"52,459",32,"37,300",22,https://propertydata.co.uk/draw?input=BS5
BS6,"496,547",449,21,5,"1,494",3.6,51,10,74,"33,615",57,"53,400",8,https://propertydata.co.uk/draw?input=BS6
BS7,"402,697",363,27,6,"1,722",5.1,67,9,95,"40,495",43,"48,200",15,https://propertydata.co.uk/draw?input=BS7
BS8,"486,769",430,21,4,"1,554",3.8,44,9,97,"26,327",57,"51,100",6,https://propertydata.co.uk/draw?input=BS8
BS9,"565,524",382,24,11,"1,210",2.6,94,11,53,"31,160",51,"52,000",11,https://propertydata.co.uk/draw?input=BS9
BS10,"295,139",282,14,7,"1,242",5.1,,4,141,"27,846",26,"38,600",31,https://propertydata.co.uk/draw?input=BS10
BS11,"271,244",240,11,11,,,,7,151,"17,395",14,"37,100",36,https://propertydata.co.uk/draw?input=BS11
BS13,"276,208",264,11,5,,,,4,164,"29,574",10,"32,700",37,https://propertydata.co.uk/draw?input=BS13
BS14,"283,388",270,20,11,883,3.7,,5,99,"28,656",18,"38,300",15,https://propertydata.co.uk/draw?input=BS14
BS15,"274,483",256,30,11,791,3.5,66,9,85,"47,398",19,"40,000",12,https://propertydata.co.uk/draw?input=BS15
BS16,"303,218",315,58,9,"1,256",5.0,49,10,98,"75,701",27,"44,600",14,https://propertydata.co.uk/draw?input=BS16
BS20,"370,485",332,38,13,989,3.2,82,5,59,"30,042",34,"46,700",9,https://propertydata.co.uk/draw?input=BS20
BS21,"365,878",304,19,9,,,,4,52,"23,270",29,"41,200",8,https://propertydata.co.uk/draw?input=BS21
