Postcode,"Avg asking price","Average £/sqft","Sales per month","Turnover (sale)","Avg asking rent (pm)","Avg yield","Turnover (rental)",3yr,"Crime rate",Population,Degree,"Avg. household income","Social rent",URL
WR1,"206,745",225,7,4,622,3.6,70,9,486,"9,229",37,"40,500",14,https://propertydata.co.uk/draw?input=WR1
WR2,"271,803",231,21,7,701,3.1,44,7,74,"29,799",30,"41,900",12,https://propertydata.co.uk/draw?input=WR2
WR3,"296,344",237,10,6,,,,8,83,"20,397",27,"45,600",8,https://propertydata.co.uk/draw?input=WR3
WR4,"236,854",226,12,7,664,3.4,74,9,134,"26,127",22,"42,400",30,https://propertydata.co.uk/draw?input=WR4
WR5,"292,455",242,24,7,764,3.1,46,8,99,"30,933",31,"46,800",10,https://propertydata.co.uk/draw?input=WR5
WR6,"384,839",243,7,7,,,,9,51,"12,214",32,"44,300",9,https://propertydata.co.uk/draw?input=WR6
WR8,"407,997",254,5,6,,,,4,79,"8,093",34,"44,300",14,https://propertydata.co.uk/draw?input=WR8
WR9,"332,152",245,21,11,764,2.8,,7,87,"31,012",28,"44,400",17,https://propertydata.co.uk/draw?input=WR9
WR10,"373,603",252,11,5,864,2.8,,5,76,"17,746",31,"43,900",14,https://propertydata.co.uk/draw?input=WR10
WR11,"279,369",249,28,6,711,3.1,52,7,116,"41,501",24,"42,900",17,https://propertydata.co.uk/draw?input=WR11
WR12,"516,452",324,6,10,,,,8,73,"5,576",25,"43,200",13,https://propertydata.co.uk/draw?input=WR12
WR13,"511,230",267,8,9,,,,9,62,"8,274",35,"45,000",11,https://propertydata.co.uk/draw?input=WR13
